"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Tyler Grisham (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Wallace Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Yamon Figurs (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Arrelious Benn (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Roydell Williams (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dominique Edison (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Patrick Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Gary Banks (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jeremy Williams (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dominique Zeigler (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brandon Banks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Verran Tucker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Duke Calhoun (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Taj Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Andy Fantuz (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Scotty McKnight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Emmanuel Arceneaux (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Chastin West (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Eron Riley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kamar Aiken (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Calvin (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Josh Bellamy (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Russell Shepard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Corey Fuller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tavarres King (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cobi Hamilton (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Charles Johnson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Sammy Watkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.5%"
"Mike Evans (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"Marqise Lee (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"Kelvin Benjamin (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.5%"
"Brandin Cooks (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.5%"
"Davante Adams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.5%"
"Jordan Matthews (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.8%"
"Donte Moncrief (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.5%"
"Allen Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"Odell Beckham Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"Jarvis Landry (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"Paul Richardson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"Jared Abbrederis (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Josh Huff (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"TJ Jones (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devin Street (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Martavis Bryant (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.0%"
"Chris Matthews (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brandon Coleman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"Cody Latimer (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"John Brown (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.1%"
"Kevin Norwood (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ryan Grant (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Matt Hazel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Walter Powell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Quincy Enunwa (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.0%"
"Michael Campanaro (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jeff Janis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Albert Wilson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Terrell Sinkfield (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Taylor Gabriel (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0%"
"Willie Snead (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.0%"
"Allen Hurns (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3%"
"Uzoma Nwachukwu (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Bennie Fowler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Isaiah Burse (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dontrelle Inman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"Javontee Herndon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Frankie Hammond (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rashad Ross (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rashad Lawrence (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Adam Thielen (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.1%"
"Bernard Reedy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Freddie Martino (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Philly Brown (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Brenton Bersin (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Seantavius Jones (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jeremy Butler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jonathan Krause (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tony Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Derel Walker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Seth Roberts (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"Amari Cooper (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"Devante Parker (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.3%"
"Kevin White (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.1%"
"Jaelen Strong (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Sammie Coates (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"Devin Funchess (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4%"
"Nelson Agholor (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"Justin Hardy (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Tyler Lockett (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.1%"
"Rashad Greene (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devin Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Breshad Perriman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.4%"
"Jamison Crowder (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.5%"
"Vince Mayle (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Phillip Dorsett (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"Dres Anderson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Stefon Diggs (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.0%"
"Tre McBride (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kenny Bell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Titus Davis (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dezmin Lewis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rannell Hall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jordan Taylor (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kasen Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mario Alford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
