"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Jehuu Caulcrick (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darrel Young (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Reagan Maui'a (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Isaac Odim (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Eddie Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ryan Mahaffey (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Bernard Pierce (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rodney Stewart (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tommy Bohanon (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Derrick Coleman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Carlin Isles (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Bishop Sankey (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Storm Johnson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"David Fluellen (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Branden Oliver (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Senorise Perry (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Austin Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ty Montgomery (GB)","77","457","5.9","61","5","3","44","56","348","7.9","0","1","15","0.0","0.0","89.0%"
"Kenny Hilliard (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Michael Burton (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"John Crockett (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Zach Laskey (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Trey Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Julian Howsare (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Glenn Gronkowski (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darius Jackson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Russell Hansbrough (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Aaron Green (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Romar Morris (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tra Carson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brandon Brown-Dukes (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
